Store's Types;City;DATE;UnitsSold
Shopping Center stores;ALMERIA;05/03/2019;81
Shopping Center stores;ALMERIA;06/03/2019;153
Shopping Center stores;ALMERIA;07/03/2019;114
Shopping Center stores;ALMERIA;08/03/2019;228
Shopping Center stores;ALMERIA;09/03/2019;396
Shopping Center stores;ALMERIA;11/03/2019;138
Shopping Center stores;ALMERIA;12/03/2019;57
Shopping Center stores;ALMERIA;13/03/2019;33
Shopping Center stores;ALMERIA;14/03/2019;42
Shopping Center stores;ALMERIA;15/03/2019;2
Shopping Center stores;ALMERIA;16/03/2019;309
Shopping Center stores;ALMERIA;18/03/2019;123
Shopping Center stores;ALMERIA;19/03/2019;42
Shopping Center stores;ALMERIA;21/03/2019;81
Shopping Center stores;ALMERIA;22/03/2019;57
Shopping Center stores;ALMERIA;23/03/2019;177
Shopping Center stores;ALMERIA;25/03/2019;24
Shopping Center stores;ALMERIA;26/03/2019;2
Shopping Center stores;ALMERIA;27/03/2019;2
Shopping Center stores;ALMERIA;28/03/2019;90
Shopping Center stores;ALMERIA;29/03/2019;177
Shopping Center stores;ALMERIA;30/03/2019;501
Shopping Center stores;ALMERIA;01/04/2019;186
Shopping Center stores;ALMERIA;02/04/2019;129
Shopping Center stores;ALMERIA;03/04/2019;96
Shopping Center stores;ALMERIA;04/04/2019;96
Shopping Center stores;ALMERIA;05/04/2019;129
Shopping Center stores;ALMERIA;06/04/2019;234
Shopping Center stores;ALMERIA;08/04/2019;81
Shopping Center stores;ALMERIA;09/04/2019;57
Shopping Center stores;ALMERIA;10/04/2019;309
Shopping Center stores;ALMERIA;11/04/2019;204
Shopping Center stores;ALMERIA;12/04/2019;177
Shopping Center stores;ALMERIA;13/04/2019;267
Shopping Center stores;ALMERIA;15/04/2019;300
Shopping Center stores;ALMERIA;16/04/2019;258
Shopping Center stores;ALMERIA;17/04/2019;258
Shopping Center stores;ALMERIA;20/04/2019;300
Shopping Center stores;AVILA;01/03/2019;429
Shopping Center stores;AVILA;02/03/2019;420
Shopping Center stores;AVILA;04/03/2019;420
Shopping Center stores;AVILA;05/03/2019;339
Shopping Center stores;AVILA;06/03/2019;162
Shopping Center stores;AVILA;07/03/2019;333
Shopping Center stores;AVILA;08/03/2019;639
Shopping Center stores;AVILA;09/03/2019;558
Shopping Center stores;AVILA;11/03/2019;114
Shopping Center stores;AVILA;12/03/2019;210
Shopping Center stores;AVILA;13/03/2019;204
Shopping Center stores;AVILA;14/03/2019;90
Shopping Center stores;AVILA;15/03/2019;243
Shopping Center stores;AVILA;16/03/2019;300
Shopping Center stores;AVILA;17/03/2019;66
Shopping Center stores;AVILA;18/03/2019;153
Shopping Center stores;AVILA;19/03/2019;123
Shopping Center stores;AVILA;20/03/2019;204
Shopping Center stores;AVILA;21/03/2019;234
Shopping Center stores;AVILA;22/03/2019;129
Shopping Center stores;AVILA;23/03/2019;234
Shopping Center stores;AVILA;25/03/2019;114
Shopping Center stores;AVILA;26/03/2019;366
Shopping Center stores;AVILA;27/03/2019;204
Shopping Center stores;AVILA;28/03/2019;105
Shopping Center stores;AVILA;29/03/2019;396
Shopping Center stores;AVILA;30/03/2019;420
Shopping Center stores;AVILA;01/04/2019;123
Shopping Center stores;AVILA;02/04/2019;291
Shopping Center stores;AVILA;03/04/2019;219
Shopping Center stores;AVILA;04/04/2019;258
Shopping Center stores;AVILA;05/04/2019;333
Shopping Center stores;AVILA;06/04/2019;315
Shopping Center stores;AVILA;08/04/2019;219
Shopping Center stores;AVILA;09/04/2019;381
Shopping Center stores;AVILA;10/04/2019;243
Shopping Center stores;AVILA;11/04/2019;333
Shopping Center stores;AVILA;12/04/2019;381
Shopping Center stores;AVILA;13/04/2019;567
Shopping Center stores;AVILA;15/04/2019;219
Shopping Center stores;AVILA;16/04/2019;777
Shopping Center stores;AVILA;17/04/2019;396
Shopping Center stores;AVILA;18/04/2019;210
Shopping Center stores;AVILA;20/04/2019;381
Shopping Center stores;AVILA;21/04/2019;162
ECI stores;BADAJOZ;01/03/2019;285
ECI stores;BADAJOZ;02/03/2019;171
ECI stores;BADAJOZ;03/03/2019;33
ECI stores;BADAJOZ;04/03/2019;153
ECI stores;BADAJOZ;06/03/2019;147
ECI stores;BADAJOZ;07/03/2019;72
ECI stores;BADAJOZ;08/03/2019;162
ECI stores;BADAJOZ;09/03/2019;195
